Employee,Education,Grade,Years1,Years2,Age,Gender,PC Job,Salary,gender,PC Job,education_1,education_2,education_3,education_4
1,3,1,3,1,26,Male,No,"$32,000",1,0,0,0,1,0
2,1,1,14,1,38,Female,No,"$39,100",0,0,1,0,0,0
3,1,1,12,0,35,Female,No,"$33,200",0,0,1,0,0,0
4,2,1,8,7,40,Female,No,"$30,600",0,0,0,1,0,0
5,3,1,3,0,28,Male,No,"$29,000",1,0,0,0,1,0
6,3,1,3,0,24,Female,No,"$30,500",0,0,0,0,1,0
7,3,1,4,0,27,Female,No,"$30,000",0,0,0,0,1,0
8,3,1,8,2,33,Male,No,"$27,000",1,0,0,0,1,0
9,1,1,4,0,62,Female,No,"$34,000",0,0,1,0,0,0
10,3,1,9,0,31,Female,No,"$29,500",0,0,0,0,1,0
11,3,1,9,2,34,Female,No,"$26,800",0,0,0,0,1,0
12,2,1,8,8,37,Female,No,"$31,300",0,0,0,1,0,0
13,2,1,9,0,37,Female,No,"$31,200",0,0,0,1,0,0
14,2,1,10,6,58,Female,No,"$34,700",0,0,0,1,0,0
15,3,1,4,0,33,Female,No,"$30,000",0,0,0,0,1,0
16,3,1,3,0,27,Female,No,"$31,000",0,0,0,0,1,0
17,3,1,6,0,30,Female,No,"$27,000",0,0,0,0,1,0
18,2,1,8,9,37,Female,No,"$29,600",0,0,0,1,0,0
19,3,1,5,6,44,Female,No,"$32,600",0,0,0,0,1,0
20,2,1,4,3,29,Female,No,"$29,600",0,0,0,1,0,0
21,3,1,4,2,36,Female,No,"$29,500",0,0,0,0,1,0
22,2,1,3,3,28,Male,No,"$31,000",1,0,0,1,0,0
23,1,1,5,0,45,Female,No,"$28,500",0,0,1,0,0,0
24,2,1,3,4,33,Male,No,"$26,700",1,0,0,1,0,0
25,3,1,3,1,24,Male,No,"$30,750",1,0,0,0,1,0
26,3,1,3,1,27,Male,No,"$29,500",1,0,0,0,1,0
27,2,1,16,6,60,Female,No,"$42,200",0,0,0,1,0,0
28,1,1,13,0,48,Female,No,"$37,600",0,0,1,0,0,0
29,1,1,12,6,40,Female,No,"$34,000",0,0,1,0,0,0
30,2,1,4,7,33,Female,No,"$33,000",0,0,0,1,0,0
31,1,1,7,4,35,Female,No,"$28,760",0,0,1,0,0,0
32,1,1,11,0,44,Female,No,"$35,400",0,0,1,0,0,0
33,3,1,3,8,43,Male,No,"$31,000",1,0,0,0,1,0
34,2,1,18,2,46,Female,No,"$38,800",0,0,0,1,0,0
35,2,1,14,0,42,Female,No,"$34,300",0,0,0,1,0,0
36,1,1,19,0,47,Female,No,"$35,000",0,0,1,0,0,0
37,3,1,3,2,25,Female,Yes,"$34,600",0,1,0,0,1,0
38,2,1,2,4,30,Female,No,"$28,500",0,0,0,1,0,0
39,1,1,11,0,40,Female,No,"$29,500",0,0,1,0,0,0
40,3,1,3,2,26,Male,No,"$30,500",1,0,0,0,1,0
41,3,1,5,1,32,Female,No,"$34,200",0,0,0,0,1,0
42,1,1,15,0,51,Female,No,"$43,600",0,0,1,0,0,0
43,5,1,7,0,35,Female,Yes,"$33,500",0,1,0,0,0,0
44,3,1,12,1,37,Female,No,"$33,000",0,0,0,0,1,0
45,1,1,18,0,44,Female,No,"$45,300",0,0,1,0,0,0
46,1,1,17,3,53,Male,No,"$38,800",1,0,1,0,0,0
47,1,1,10,0,40,Female,No,"$29,900",0,0,1,0,0,0
48,3,1,5,10,51,Male,No,"$31,200",1,0,0,0,1,0
49,1,1,15,0,42,Female,No,"$34,000",0,0,1,0,0,0
50,2,1,2,0,53,Female,No,"$30,450",0,0,0,1,0,0
51,1,1,3,3,58,Male,No,"$35,500",1,0,1,0,0,0
52,1,1,4,10,44,Female,Yes,"$34,000",0,1,1,0,0,0
53,2,1,7,0,31,Female,No,"$29,100",0,0,0,1,0,0
54,1,1,8,0,64,Female,No,"$29,650",0,0,1,0,0,0
55,3,1,15,1,47,Female,No,"$29,200",0,0,0,0,1,0
56,3,1,9,0,37,Female,Yes,"$29,800",0,1,0,0,1,0
57,2,1,16,0,46,Female,No,"$33,500",0,0,0,1,0,0
58,1,1,8,0,55,Female,No,"$34,000",0,0,1,0,0,0
59,1,1,9,0,39,Female,No,"$29,600",0,0,1,0,0,0
60,3,1,18,0,51,Female,No,"$34,000",0,0,0,0,1,0
61,2,2,3,8,37,Female,No,"$37,250",0,0,0,1,0,0
62,2,2,6,3,30,Male,No,"$33,000",1,0,0,1,0,0
63,3,2,4,0,26,Female,No,"$28,600",0,0,0,0,1,0
64,5,2,5,1,41,Female,Yes,"$36,000",0,1,0,0,0,0
65,3,2,4,4,34,Female,Yes,"$37,300",0,1,0,0,1,0
66,2,2,7,4,57,Male,No,"$29,900",1,0,0,1,0,0
67,1,2,11,8,53,Female,No,"$31,500",0,0,1,0,0,0
68,3,2,5,4,32,Female,Yes,"$41,400",0,1,0,0,1,0
69,1,2,17,5,44,Female,No,"$32,740",0,0,1,0,0,0
70,3,2,3,1,25,Male,No,"$33,500",1,0,0,0,1,0
71,1,2,5,9,31,Female,No,"$32,000",0,0,1,0,0,0
72,1,2,9,0,50,Female,No,"$30,800",0,0,1,0,0,0
73,5,2,3,3,47,Female,Yes,"$42,000",0,1,0,0,0,0
74,3,2,4,0,35,Male,No,"$34,000",1,0,0,0,1,0
75,2,2,16,0,43,Female,No,"$32,500",0,0,0,1,0,0
76,2,2,9,10,46,Female,No,"$31,700",0,0,0,1,0,0
